source_center,destination_center,trip_count,weight,pct_sla_breach,median_actual_time,median_osrm_time,delay_iqr,avg_distance,is_chronic,delay_severity_norm,volume_norm,sla_breach_corr_norm,variability_norm,corridor_risk_score
IND208012AAA,IND209304AAA,33,6.958899999999994,0.9696969696969697,465.0,15.0,4.958899999999994,20.469366666666666,1,1.0,0.004631494160289972,0.9696969696969697,0.8757148735984142,0.7311536033241564
IND416606AAA,IND416510AAA,50,6.958899999999994,1.0,1087.0,32.0,4.407429411764699,31.952033999999998,1,1.0,0.008054772452678213,1.0,0.7783281554815505,0.7298465086613246
IND208019AAA,IND209304AAA,13,6.958899999999994,1.0,126.0,16.0,4.413445454545448,16.21433076923077,1,1.0,0.0006041079339508659,1.0,0.7793905560428255,0.7280900825877703
IND722151AAA,IND723130AAA,10,6.958899999999994,1.0,986.5,69.5,3.93346071428571,80.62162000000001,1,1.0,0.0,1.0,0.6946278513813633,0.7194627851381363
IND147105AAA,IND160002AAC,28,6.958899999999994,1.0,567.0,57.5,3.184666703176335,72.34139285714285,1,1.0,0.003624647603705195,1.0,0.562394885846689,0.7071456504855952
IND211008AAA,IND211002AAB,18,6.958899999999994,1.0,121.0,14.5,2.9588999999999936,17.597416666666668,1,1.0,0.0016109544905356424,1.0,0.5225257092279225,0.7026553095454261
IND425405AAA,IND424006AAA,18,6.958899999999994,1.0,1017.0,46.0,1.8495015037593925,58.45355,1,1.0,0.0016109544905356424,1.0,0.32661194530737364,0.6830639331533712
IND829121AAA,IND834002AAB,57,6.958899999999994,1.0,398.0,54.0,1.6096936507936448,57.532629824561404,1,1.0,0.009464357631896899,1.0,0.28426317770814663,0.6807924071787889
IND751002AAB,IND754103AAA,11,6.958899999999994,1.0,359.0,41.0,1.6941941176470525,46.004809090909085,1,1.0,0.0002013693113169553,1.0,0.29918550234658237,0.6799688925624875
IND208017AAA,IND209304AAA,13,6.958899999999994,1.0,134.0,12.0,1.4588999999999936,16.07049230769231,1,1.0,0.0006041079339508659,1.0,0.2576338359500539,0.6759144105784932
IND175015AAA,IND174001AAA,49,6.958899999999994,1.0,889.0,130.0,1.0544882352941114,86.01363673469388,1,1.0,0.007853403141361256,1.0,0.18621690933102072,0.6705850417184425
IND249201AAA,IND249407AAA,17,6.958899999999994,1.0,197.0,27.0,1.0700111111111044,21.412041176470588,1,1.0,0.001409585179218687,1.0,0.18895816510023605,0.6692482128048283
IND321001AAA,IND301001AAB,15,5.826086956521739,1.0,536.0,76.0,4.660527694235586,76.75762,1,0.8272879706957815,0.0010068465565847766,1.0,0.8230239409263003,0.6634692940100889
IND721102AAA,IND712311AAA,20,6.958899999999994,1.0,677.5,92.0,0.5900188811188745,109.58341499999999,1,1.0,0.002013693113169553,1.0,0.10419413779259383,0.6609228370575518
IND828111AAA,IND826004AAA,14,6.136363636363637,1.0,67.5,11.0,3.388824242424236,14.273035714285713,1,0.8745936716053757,0.0008054772452678212,1.0,0.59844800119014,0.6598836380724813
IND401602AAA,IND401501AAA,31,6.958899999999994,1.0,184.0,25.0,0.4582614303959067,24.386106451612903,1,1.0,0.004228755537656061,1.0,0.08092648583237823,0.6591498374676519
IND847404AAB,IND842001AAA,46,6.958899999999994,1.0,580.0,73.0,0.3948506756756709,84.1213152173913,1,1.0,0.00724929520741039,1.0,0.06972849009650708,0.6587851728115033
IND302020AAA,IND302014AAB,38,5.75,1.0,66.5,11.0,4.5200111111111045,12.279718421052632,1,0.8156875281160403,0.005638340716874748,1.0,0.798209473639334,0.6575055437895682
IND847226AAA,IND842001AAA,105,6.958899999999994,1.0,680.0,61.0,0.0,81.88115238095239,1,1.0,0.019130084575110753,1.0,0.0,0.6547825211437777
IND212402AAA,IND211002AAB,65,6.958899999999994,1.0,1003.0,20.0,0.0,31.065392307692306,1,1.0,0.011075312122432542,1.0,0.0,0.6527688280306081
IND395009AAA,IND395023AAD,21,6.958899999999994,1.0,150.0,16.0,0.0,16.440571428571428,1,1.0,0.0022150624244865083,1.0,0.0,0.6505537656061217
IND847223AAA,IND842001AAA,19,6.958899999999994,1.0,647.0,64.0,0.0,76.63837368421052,1,1.0,0.0018123238018525976,1.0,0.0,0.6504530809504632
IND395001AAA,IND395023AAD,18,6.958899999999994,1.0,126.0,14.0,0.0,14.295577777777778,1,1.0,0.0016109544905356424,1.0,0.0,0.6504027386226339
IND844505AAB,IND842001AAA,16,6.958899999999994,1.0,585.0,51.5,0.0,68.61691875,1,1.0,0.0012082158679017317,1.0,0.0,0.6503020539669755
IND431131AAB,IND431603AAA,14,6.958899999999994,1.0,793.5,68.0,0.0,91.9320857142857,1,1.0,0.0008054772452678212,1.0,0.0,0.650201369311317
IND700065AAB,IND712310AAA,30,5.666193181818182,1.0,80.0,19.5,2.69526363636363,17.765193333333333,1,0.8029100925797505,0.004027386226339106,1.0,0.4759689557427214,0.6197677791627572
IND500050AAA,IND501218AAC,11,5.566666666666666,0.9090909090909091,144.0,16.0,4.218537301587299,25.351527272727274,1,0.7877359855191399,0.0002013693113169553,0.9090909090909091,0.7449708322066831,0.6169145470288808
IND501401AAC,IND500010AAA,21,4.933333333333334,1.0,74.0,14.0,4.82556666666666,14.172404761904762,1,0.6911761110934843,0.0022150624244865083,1.0,0.8521689293070479,0.6122411029742202
IND821109AAA,IND802213AAB,24,5.753787878787879,1.0,154.0,31.5,1.1439393939393945,35.321933333333334,1,0.81626503932672,0.002819170358437374,1.0,0.20201349931797064,0.5974121582520944
IND485001AAC,IND486771AAA,25,5.698630136986301,0.92,416.0,72.0,2.1138295774647826,87.14755199999999,1,0.8078555267657257,0.0030205396697543293,0.92,0.37329085104320786,0.5912264307280496
IND000000ACB,IND562132AAA,4976,1.6844001999514844,0.9969855305466238,1284.0,786.0,0.19338857375871576,1033.9525609927653,1,0.19583414997237378,1.0,0.9969855305466238,0.03415137438232099,0.5809951800638375
IND181201AAB,IND181152AAB,24,5.240384615384615,1.0,98.5,18.0,1.8224929971988795,22.699333333333332,1,0.7379900583099711,0.002819170358437374,1.0,0.3218423893758724,0.5780850548511851
IND209304AAA,IND208019AAA,36,5.258241758241758,1.0,77.5,15.0,1.5897321428571427,16.672425,1,0.7407126111603186,0.005235602094240838,1.0,0.28073808355431257,0.5756677533431189
IND211002AAB,IND211013AAA,17,5.222222222222222,1.0,69.0,14.0,1.533333333333334,16.917258823529412,1,0.7352209660946606,0.001409585179218687,1.0,0.2707783593507103,0.57151861866774
IND700053AAA,IND712311AAA,18,4.196153846153846,1.0,72.0,26.0,4.715480418719206,22.69056111111111,1,0.5787835447073466,0.0016109544905356424,1.0,0.832728294346426,0.5651889859402152
IND733129AAA,IND732103AAB,24,4.535885167464115,1.0,119.0,28.0,2.8946428571428577,37.91795416666667,1,0.6305799874297386,0.002819170358437374,1.0,0.511178245932649,0.5540546121547697
IND152026AAA,IND000000ACA,133,4.3,1.0,449.0,78.0,2.996080205035429,103.05101879699248,1,0.5946162366678286,0.024768425291985502,1.0,0.5290915320017171,0.5469477541902996
