source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND000000AAL,IND411033AAA,37,52.0,25.0,2.4166666666666665,0.7934782608695652,1.0,20.91134054054054,0.0,2.5416666666666665,1.98,2.658974358974359,2.123333333333333,,,,,1
IND000000AAS,IND783370AAC,18,47.0,26.0,1.7112794612794613,0.5743616287094548,1.0,36.86171111111111,1.0,,,,,,,1.6594202898550725,1.7537037037037035,1
IND000000ABA,IND683565AAA,13,22.0,21.0,1.0952380952380953,0.6923076923076923,0.38461538461538464,16.65936153846154,0.0,0.9047619047619048,1.0952380952380953,,,,,,,0
IND000000ABD,IND562132AAA,144,303.5,188.5,1.6409012020312401,0.20963734023967895,1.0,219.22347986111112,1.0,,,,,1.6059782608695652,1.7108108108108109,,,1
IND000000ABG,IND501359AAF,41,45.0,21.0,2.3333333333333335,5.064163157894731,0.975609756097561,24.41517317073171,0.0,2.3333333333333335,,,,,,,,1
IND000000ACA,IND142001AAB,36,69.0,42.0,1.519091847265222,0.26860297049441795,1.0,54.0627,1.0,,,,,1.519091847265222,,,,1
IND000000ACA,IND142401AAA,24,33.0,18.0,1.6842105263157894,0.7516447368421053,0.9583333333333334,27.14565416666667,1.0,,,,,,1.7130730050933787,,1.5921052631578947,1
IND000000ACA,IND144001AAB,51,58.0,36.0,1.5769230769230769,0.10655256905256927,1.0,49.27319019607843,1.0,,,,,1.5675324675324676,1.6216216216216217,,,1
IND000000ACA,IND144514AAA,24,55.0,47.0,1.2487179487179487,0.7786418330773168,0.5416666666666666,52.985458333333334,1.0,,,,,,1.2487179487179487,,,1
IND000000ACA,IND160002AAC,303,81.0,47.0,1.9361702127659575,0.5081699346405228,0.9900990099009901,59.22342508250826,0.966996699669967,,2.2953216374269005,,,2.185299295774648,1.9368351063829787,1.7058823529411764,,1
IND000000ACB,IND000000AEL,138,70.0,44.5,1.6229096989966556,0.8007800819869788,0.9782608695652174,38.41290942028986,0.0,1.895804195804196,1.496031746031746,,2.8558441558441556,,,,,1
IND000000ACB,IND110024AAA,36,92.0,46.0,2.098148148148148,0.6497539707615365,1.0,40.36853611111111,0.0,2.098148148148148,,,,,,,,1
IND000000ACB,IND110030AAD,135,60.0,36.0,1.6734693877551021,0.5198079231692676,0.9259259259259259,34.47943925925926,0.0,1.6111111111111112,1.8780487804878048,,2.1702127659574466,,,,,1
IND000000ACB,IND110037AAK,158,42.0,30.0,1.5384615384615385,0.5778409090909091,0.879746835443038,26.84509746835443,0.0,,1.5384615384615385,,,,,,,1
IND000000ACB,IND110043AAA,67,50.0,30.0,1.7142857142857142,0.8064538483893322,0.9104477611940298,26.14347462686567,0.0,1.6756756756756757,2.302083333333333,,1.4871794871794872,,,,,1
IND000000ACB,IND110043AAC,45,75.0,41.0,1.8,0.22323232323232323,1.0,36.067613333333334,0.0,2.163986013986014,1.7777777777777777,,,,,,,1
IND000000ACB,IND110052AAA,14,64.0,48.5,1.3333333333333333,0.13595274240334665,1.0,43.0432,0.0,,1.3333333333333333,,,,,,,1
