source_center,destination_center,time_bucket,avg_distance_km,avg_osrm_time,hub_congestion,congestion_tier,distance_tier,is_chronic_bottleneck,total_volume,delay_ratio_ftl,delay_risk_tier_ftl,delay_ratio_carting,delay_risk_tier_carting,ftl_distance_cost,carting_distance_cost,ftl_actual_time,carting_actual_time,ftl_delay_cost,carting_delay_cost,ftl_total_cost,carting_total_cost,time_diff_hr,cost_diff,recommended_route_type,rule_applied
IND000000AAL,IND411033AAA,afternoon,21.509185714285714,23.19047619047619,7806.0,High,Short,0,21,1.8518518518518519,Medium,2.5416666666666665,High,4102.2572,967.9133571428571,42.945326278659614,58.94246031746031,0.08231187536743094,0.1489666005291005,4102.339511875368,968.0623237433862,0.004443648344111304,-3134.277188131982,Carting,Rule 6: Lower total cost (Carting)
IND000000AAL,IND411033AAA,eve_peak,20.37985,21.416666666666668,7806.0,High,Short,0,12,1.8518518518518519,Medium,1.98,High,4070.6358,917.09325,39.660493827160494,42.405,0.07601594650205762,0.08745138888888888,4070.711815946502,917.1807013888889,0.0007623628257887521,-3153.5311145576134,FTL,Rule 4: Peak-hour congestion — avoid consolidation queue
IND000000AAS,IND783370AAC,morn_peak,37.7676875,26.625,84.0,Low,Medium,0,8,1.6594202898550725,High,2.037037037037037,Medium,4557.49525,1699.5459375,44.182065217391305,54.236111111111114,0.0731544384057971,0.11504629629629631,4557.568404438406,1699.6609837962963,0.0027927905260332806,-2857.90742064211,Carting,Rule 6: Lower total cost (Carting)
IND000000AAS,IND783370AAC,night,36.13693,25.3,84.0,Low,Medium,0,10,1.7537037037037035,High,2.037037037037037,Medium,4511.83404,1626.16185,44.3687037037037,51.537037037037045,0.07945293209876542,0.10932098765432101,4511.913492932098,1626.2711709876544,0.0019912037037037064,-2885.6423219444437,Carting,Rule 6: Lower total cost (Carting)
IND000000ABA,IND683565AAA,eve_peak,16.37248181818182,19.0,99.0,Low,Short,0,11,1.8518518518518519,Medium,1.0952380952380953,Medium,3958.429490909091,736.761681818182,35.18518518518518,20.80952380952381,0.06743827160493826,0.007539682539682542,3958.4969291806956,736.7692215007216,-0.003993239271017048,-3221.7277076799737,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND000000ABD,IND562132AAA,afternoon,220.54622025316453,203.1139240506329,21151.0,High,Long,0,79,1.6059782608695652,High,2.037037037037037,Medium,9675.294167088607,9924.579911392404,326.19654650522835,413.75058602906705,0.512844260227481,0.8776527582434756,9675.807011348834,9925.457564150647,0.024320566534399637,249.65055280181332,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND000000ABD,IND562132AAA,eve_peak,217.61584153846155,200.6153846153846,21151.0,High,Long,0,65,1.7108108108108109,High,2.037037037037037,Medium,9593.243563076923,9792.71286923077,343.2149688149688,408.6609686609687,0.5941649341649342,0.8668566001899337,9593.837728011089,9793.579725830961,0.018179444401666637,199.74199781987227,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND000000ABG,IND501359AAF,afternoon,21.118475862068966,18.03448275862069,181.0,Low,Short,0,29,1.8518518518518519,Medium,2.0,High,4091.317324137931,950.3314137931035,33.39719029374202,36.06896551724138,0.06401128139633888,0.07514367816091955,4091.381335419327,950.4065574712644,0.0007421597843053777,-3140.9747779480626,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND000000ACA,IND140406AAA,eve_peak,42.16805,30.5,958.0,Medium,Medium,0,6,1.699248120300752,High,2.037037037037037,Medium,4680.7054,1897.56225,51.82706766917293,62.12962962962963,0.08886278195488723,0.13179012345679014,4680.794262781955,1897.6940401234567,0.0028618227667935275,-2783.100222658498,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND142001AAB,afternoon,54.0627,39.97222222222222,1220.0,Medium,Medium,0,36,1.519091847265222,High,2.037037037037037,Medium,5013.7556,2432.8215,60.72147689485151,81.42489711934157,0.08645522780262205,0.17271947873799726,5013.842055227803,2432.994219478738,0.005750950062358348,-2580.847835749065,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND142401AAA,eve_peak,27.31818636363636,19.181818181818183,983.0,Medium,Short,0,22,1.7130730050933787,High,2.037037037037037,Medium,4264.909218181818,1229.3183863636361,32.85985491588208,39.07407407407408,0.05699181972526624,0.08288439955106625,4264.966210001543,1229.4012707631873,0.001726171988386667,-3035.5649392383557,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND143001AAA,afternoon,97.25148571428572,70.14285714285714,1210.0,Medium,Long,0,7,1.619718309859155,High,2.037037037037037,Medium,6223.0416000000005,4376.316857142858,113.61167002012073,142.8835978835979,0.18112005365526496,0.3030864197530865,6223.222720053655,4376.619943562611,0.008131091073188103,-1846.602776491044,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND000000ACA,IND144001AAB,afternoon,49.309400000000004,35.1875,1381.0,Medium,Medium,0,48,1.5675324675324676,High,2.037037037037037,Medium,4880.6632,2218.9230000000002,55.1575487012987,71.67824074074075,0.08320853625541125,0.15204475308641976,4880.746408536255,2219.075044753087,0.004589081122067235,-2661.6713637831685,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND144514AAA,eve_peak,52.985458333333334,46.125,974.0,Medium,Medium,0,24,1.2487179487179487,High,2.037037037037037,Medium,4983.592833333333,2384.345625,57.597115384615385,93.95833333333334,0.047800480769230776,0.1993055555555556,4983.640633814102,2384.5449305555553,0.010100338319088322,-2599.095703258547,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND147301AAA,eve_peak,32.13248333333333,23.666666666666668,950.0,Medium,Medium,0,6,1.6851851851851851,High,2.037037037037037,Medium,4399.709533333334,1445.96175,39.882716049382715,48.20987654320988,0.06756687242798354,0.10226337448559672,4399.777100205762,1446.0640133744855,0.0023131001371742123,-2953.713086831276,Carting,Rule 6: Lower total cost (Carting)
IND000000ACA,IND152026AAA,afternoon,93.82331428571429,71.28571428571429,1263.0,Medium,Long,0,7,1.514018691588785,High,2.037037037037037,Medium,6127.0527999999995,4222.049142857143,107.92790387182912,145.21164021164023,0.1526757899421451,0.30802469135802474,6127.205475789941,4222.357167548501,0.010356593427725309,-1904.8483082414405,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND000000ACA,IND160002AAC,afternoon,58.457834166666665,40.81666666666667,6221.0,High,Long,0,120,2.185299295774648,High,2.037037037037037,Medium,5136.819356666667,2630.6025375,89.19663292253523,83.14506172839508,0.2015831927327857,0.1763683127572017,5137.0209398594,2630.7789058127573,-0.0016809919983722644,-2506.2420340466424,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
