feature,importance,group
osrm_distance,0.5974123938331695,Distance/OSRM
osrm_time,0.3212646421254532,Distance/OSRM
hub_volume_as_dest,0.031850321543167096,Hub stats (non-graph)
hub_volume_as_source,0.015402359336397315,Hub stats (non-graph)
route_type_FTL,0.005319925751308563,Categorical
route_type_Carting,0.003941889299255934,Categorical
hub_avg_delay_as_source,0.0015936181914085507,Hub stats (non-graph)
hub_avg_delay_as_dest,0.0014455030209686705,Hub stats (non-graph)
src_n2v_19,0.0013528294613201883,Node2Vec (source hub)
src_n2v_4,0.0013464170171926324,Node2Vec (source hub)
src_n2v_1,0.0013276724339400855,Node2Vec (source hub)
day_of_week,0.0011976466499033802,Time
src_n2v_3,0.001191949232958713,Node2Vec (source hub)
hour_cos,0.0010627644805685163,Time
src_n2v_28,0.0006785886747458368,Node2Vec (source hub)
dst_n2v_4,0.0006194252312395197,Node2Vec (destination hub)
src_n2v_17,0.0005780473534546858,Node2Vec (source hub)
dst_n2v_15,0.0005721918013785344,Node2Vec (destination hub)
hour,0.0005192242462439243,Time
src_n2v_30,0.0005003625362438196,Node2Vec (source hub)
src_n2v_13,0.000463982296727222,Node2Vec (source hub)
hour_sin,0.0004089608299007476,Time
dst_n2v_24,0.00040611721868801046,Node2Vec (destination hub)
src_n2v_2,0.0003653608280646009,Node2Vec (source hub)
dst_n2v_3,0.00035703665354485325,Node2Vec (destination hub)
dst_n2v_19,0.00035082299398149584,Node2Vec (destination hub)
dst_n2v_20,0.0003212748615324442,Node2Vec (destination hub)
dst_n2v_23,0.00028402083347892136,Node2Vec (destination hub)
dst_n2v_2,0.0002740174307838444,Node2Vec (destination hub)
src_n2v_31,0.00026118364568318927,Node2Vec (source hub)
dst_n2v_17,0.00025529970543143425,Node2Vec (destination hub)
dst_n2v_27,0.00024235008918166488,Node2Vec (destination hub)
dst_n2v_31,0.00023206488903266073,Node2Vec (destination hub)
dst_n2v_11,0.00023063912794758754,Node2Vec (destination hub)
src_n2v_21,0.00023055012538104286,Node2Vec (source hub)
dst_n2v_25,0.00022927348102704217,Node2Vec (destination hub)
time_bucket_afternoon,0.00022534738770704722,Categorical
src_n2v_11,0.000224604867038667,Node2Vec (source hub)
dst_n2v_1,0.00021486125148352118,Node2Vec (destination hub)
dst_n2v_28,0.00021080591029771467,Node2Vec (destination hub)
src_n2v_27,0.00021024700075036835,Node2Vec (source hub)
src_n2v_7,0.0002097355677360363,Node2Vec (source hub)
dst_n2v_30,0.00020820941798160327,Node2Vec (destination hub)
dst_n2v_7,0.00020529726745793515,Node2Vec (destination hub)
dst_n2v_21,0.0002033281932405245,Node2Vec (destination hub)
src_n2v_9,0.00019944033292512145,Node2Vec (source hub)
src_n2v_22,0.0001941197512483105,Node2Vec (source hub)
dst_n2v_16,0.00017170115540013692,Node2Vec (destination hub)
src_n2v_29,0.0001615336181124005,Node2Vec (source hub)
src_n2v_15,0.00015769489784641828,Node2Vec (source hub)
src_n2v_0,0.0001481193240049662,Node2Vec (source hub)
dst_n2v_6,0.00014550478234728846,Node2Vec (destination hub)
dst_n2v_12,0.00013956281338366308,Node2Vec (destination hub)
src_n2v_20,0.00013882647219824745,Node2Vec (source hub)
src_n2v_8,0.00013237950574750867,Node2Vec (source hub)
src_n2v_25,0.00012965422145547528,Node2Vec (source hub)
src_n2v_23,0.0001265080471158654,Node2Vec (source hub)
dst_n2v_22,0.00012429885002697864,Node2Vec (destination hub)
dst_n2v_0,0.0001237614110145691,Node2Vec (destination hub)
dst_n2v_18,0.00012141037059025369,Node2Vec (destination hub)
src_n2v_18,0.00011980348414143799,Node2Vec (source hub)
src_n2v_10,0.00011936336386666135,Node2Vec (source hub)
dst_n2v_26,0.00011820139112419987,Node2Vec (destination hub)
dst_n2v_8,0.00011795778709655446,Node2Vec (destination hub)
src_n2v_6,0.00011184808981922129,Node2Vec (source hub)
src_n2v_5,0.0001097067511267461,Node2Vec (source hub)
src_n2v_24,0.00010925274973882089,Node2Vec (source hub)
dst_n2v_13,9.998905757571643e-05,Node2Vec (destination hub)
is_weekend,9.730791363412126e-05,Time
dst_n2v_9,9.573974595307551e-05,Node2Vec (destination hub)
dst_n2v_14,9.371950889061015e-05,Node2Vec (destination hub)
src_n2v_16,8.555133840288344e-05,Node2Vec (source hub)
dst_n2v_10,7.743419752761748e-05,Node2Vec (destination hub)
dst_n2v_29,7.036745201656785e-05,Node2Vec (destination hub)
src_n2v_12,6.645814837086352e-05,Node2Vec (source hub)
dst_n2v_5,6.185522329051166e-05,Node2Vec (destination hub)
src_n2v_26,5.987966635241926e-05,Node2Vec (source hub)
src_n2v_14,5.110318693804172e-05,Node2Vec (source hub)
time_bucket_morn_peak,4.505045232511372e-05,Categorical
time_bucket_eve_peak,4.078801785885621e-05,Categorical
time_bucket_night,3.09428261338805e-05,Categorical
