hub,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND000000AAL,0.62755543,-0.4696421,0.14609325,-0.114991665,-0.3897965,0.5128064,-0.5563111,0.0844545,-1.161681,-0.32447436,-0.5533875,0.26269293,-0.27050358,0.15558296,0.15775791,-0.5785134,-0.34116697,-0.27710807,0.028397925,0.5908591,-0.4994902,0.4429116,-0.47350037,0.017428465,0.23185016,-0.2129879,0.08706612,0.4730105,0.2968224,0.07646118,-0.5293556,0.652908
IND411033AAA,0.61214566,-0.5316927,0.23543982,-0.13293058,-0.45386314,0.630465,-0.464884,-0.03574869,-0.9550213,-0.20616744,-0.53192437,0.25813589,-0.16947125,0.11041967,0.053819843,-0.44720578,-0.437344,-0.2868829,-0.075707935,0.5988779,-0.51215905,0.34476396,-0.40773478,0.1597564,0.22129185,-0.16506661,0.03535253,0.43169993,0.22947218,0.21206068,-0.50246847,0.55032647
IND000000AAS,1.4098941,0.42370355,1.6947942,0.60820156,1.6966314,0.87393343,0.28450182,-1.1005653,-2.4718215,0.5583378,0.24438918,-0.018461475,0.5024337,-0.23388733,-0.20658799,-1.820773,1.1660224,0.9653469,-0.7064044,0.6393798,-0.37038222,-0.20677961,0.4264379,-1.1775384,-0.44372565,-0.60057694,-0.77060074,-1.0091132,-0.8019811,-0.0845629,-1.10248,0.68559265
IND783370AAC,1.3830009,0.46458977,1.7569926,0.56820744,1.661001,0.9053576,0.3107285,-1.0451899,-2.5407734,0.5511414,0.33561996,-0.07281497,0.5354357,-0.32623395,-0.21446884,-1.8665974,1.0980799,1.0472683,-0.66386986,0.71961856,-0.4719823,-0.108057916,0.3913621,-1.2169188,-0.42504516,-0.6087161,-0.78916025,-0.9632377,-0.7606591,-0.09310185,-1.0937415,0.6394306
IND000000ABA,0.4275424,-0.22473402,0.026880054,-0.40863135,1.0204686,0.28889427,-0.1647803,-1.1847693,-0.20341703,0.056399126,-0.949282,0.7227322,-0.5919135,-0.09203786,0.70736927,-0.3433243,0.010754311,-0.4815707,-0.06120626,0.98024106,-0.10829718,-0.5891354,-0.911624,0.15352046,-0.13487302,-0.19019097,0.29180348,-1.3729266,0.0021461588,0.6546942,-0.5729198,0.67277396
IND683565AAA,0.49690273,-0.41009885,-0.0330144,-0.5556474,1.1012392,0.12729622,-0.26479417,-1.1611942,-0.21670532,-0.04744486,-0.8271461,0.74611485,-0.3573679,-0.18837474,0.63549054,-0.29943147,0.06952623,-0.5671819,0.06792277,1.0337051,-0.19545555,-0.612851,-0.82133096,0.28304633,-0.0019056408,-0.13806337,0.41887257,-1.5038271,0.094302446,0.6390902,-0.52387923,0.77578706
IND000000ABD,0.6407472,-0.79464734,-0.13588259,-0.54444826,0.45839098,-0.33848876,-0.23147535,-0.32455814,-0.28372917,0.09919623,-0.52268016,0.25182644,0.032176886,-0.029129416,0.6547485,-0.24021453,0.41035807,-1.2568891,0.1209601,0.5436699,-0.32017756,-0.40642276,-0.56708413,0.05803328,0.6973146,-0.18163496,0.6554322,-1.0410485,0.199396,0.8983469,-0.44567898,0.76395357
IND562132AAA,0.36239856,-0.05912399,0.12035535,-0.39879316,0.07604205,0.21415372,-0.101402596,-0.40734485,-0.47159415,-0.062300883,0.17820597,0.13061158,-0.39729804,-0.037550893,0.5754461,-0.075023346,0.11608887,-0.6373849,-0.45021978,0.46893674,-0.39810836,-0.10003629,-0.5963523,0.19269082,0.23529321,-0.0118463235,0.35578278,-0.29515982,-0.10301395,0.7010999,-0.24201252,0.3716674
IND000000ABG,0.86244464,-0.3343188,1.1625109,-0.29000863,1.713345,-0.053894207,-0.6963849,-0.15772834,-0.20465128,0.28257632,-0.7640667,0.8156082,0.0908967,0.32753348,0.2086448,-1.0730516,0.91517544,1.4550439,-0.12171464,0.22635633,-0.33657074,0.1613112,0.24524619,0.093787685,0.5516248,0.0746745,-0.2661112,-0.17127627,-0.30532655,0.61832595,-0.16624965,0.8676792
IND501359AAF,1.0510029,-0.21787374,1.6270583,0.3355907,2.7741053,0.5533894,-0.67739534,-0.7018652,0.49352866,0.01263717,-0.337858,-0.35069826,-0.11756046,0.86735594,-0.33331496,-2.0421546,0.42121813,1.3090286,0.2575335,0.95340335,0.18354934,0.6695057,0.3844591,1.1445891,1.8358817,-0.45449176,-0.6146472,-0.6861311,-1.587799,0.8749702,-0.106318906,0.78926796
IND000000ACA,-0.28905073,-0.34126252,0.2141203,-0.22245646,1.1477836,-0.32925734,-0.21348904,-0.48212108,-1.5814456,0.2766634,-0.40619326,0.07163269,-0.11063218,1.2953403,-0.57864857,-0.33634788,1.049343,0.39511204,-0.64039963,0.74204004,-0.31273028,0.008057928,-0.64687717,0.58790314,-0.5300665,-0.3309013,0.3510889,-0.12354755,-1.2876806,0.70634794,-0.31103987,-0.5652834
