hub,betweenness,pagerank,bottleneck_score,sla_breach_rate,avg_delay,total_load,in_degree,out_degree,load_balance,avg_delay_as_source,avg_delay_as_dest
IND000000AAL,0.0,0.0005253005103957844,0.02737179591696703,1.0,2.678376844329416,74,1.0,1.0,0.974,2.678376844329416,3.0858480978166067
IND000000AAQ,0.0,0.00017215402019763105,0.06314524405435408,1.0,6.2857142857142865,4,0.0,1.0,4.0,6.2857142857142865,0.0
IND000000AAS,2.9189836099070305e-06,0.0004429917156292697,0.01960739853459486,1.0,1.924721263706771,42,1.0,1.0,0.72,1.924721263706771,2.5788989554505233
IND000000AAZ,0.0,0.00017215402019763105,0.03963723345395269,1.0,3.9397497643454695,12,2.0,2.0,0.857,3.9397497643454695,4.420579859778642
IND000000ABA,0.0002700059839164003,0.0004936797603238086,0.01849315695875283,0.38461538461538464,1.6932160282362712,60,1.0,1.0,0.271,1.6932160282362712,1.1626081956376162
IND000000ABD,0.0002663572544040165,0.0006379590038859124,0.019019255261003447,1.0,1.676035593948697,170,1.0,1.0,5.333,1.676035593948697,1.1722685920610714
IND000000ABG,0.0,0.00017215402019763105,0.04612246779602174,0.975609756097561,4.566780782570256,41,0.0,1.0,41.0,4.566780782570256,0.0
IND000000ACA,0.004258979523329977,0.004743168545857873,0.04270225992514641,0.9676724137931034,1.9098259763109644,938,13.0,9.0,0.977,1.9098259763109644,2.4379715268972473
IND000000ACB,0.09766083236093348,0.011530216992395106,0.6690518468780269,0.9760997130252281,1.8970769293613037,38539,45.0,49.0,1.537,1.8970769293613037,1.8537278639798482
IND000000ACK,0.0,0.00017215402019763105,0.028064997687640238,0.9893617021276596,2.73448302660039,94,0.0,1.0,94.0,2.73448302660039,0.0
IND000000ACN,3.648729512383788e-07,0.0003185237513780839,0.031533930381323586,1.0,3.1055892258219076,54,1.0,1.0,1.391,3.1055892258219076,3.4421820136038987
IND000000ACO,0.0,0.00017215402019763105,6.48710363796772e-06,0.0,0.0,2,1.0,0.0,0.0,0.0,1.4419642857142856
IND000000ACS,0.0,0.0004578119202167596,0.00015569048731122528,0.0,0.0,25,4.0,0.0,0.0,0.0,2.059465983437372
IND000000ACT,0.0,0.00017215402019763105,0.021155821027025394,0.8197424892703863,1.6557060849975997,699,0.0,3.0,699.0,1.6557060849975997,0.0
IND000000ADM,0.0,0.0005641962010560271,0.02046200870332344,1.0,2.011655011655012,41,1.0,1.0,0.077,2.011655011655012,1.5539735824604246
IND000000ADV,0.0,0.00017215402019763105,0.018043068084209017,1.0,1.7507659205350123,72,0.0,1.0,72.0,1.7507659205350123,0.0
IND000000AEL,0.0,0.0003607638023391184,0.021495842295811807,0.9411764705882353,1.9860544207329298,240,1.0,1.0,0.734,1.9860544207329298,2.1438144253233573
IND000000AEM,0.0,0.00017215402019763105,0.02429422632272972,0.9743589743589743,2.3441537474062586,117,0.0,2.0,117.0,2.3441537474062586,0.0
IND000000AET,1.824364756191894e-06,0.0003185237513780839,0.026133727835051287,1.0,2.5788989554505233,36,1.0,1.0,1.846,2.5788989554505233,1.8988827080751784
IND000000AFF,0.0,0.00017215402019763105,0.04619379339357631,1.0,4.5964912280701755,6,1.0,1.0,0.75,4.5964912280701755,3.1153846153846154
IND000000AFG,0.0,0.00017215402019763105,0.019701864790704,1.0,1.9572804492932527,8,0.0,2.0,8.0,1.9572804492932527,0.0
IND000000AFJ,0.0,0.00017215402019763105,0.011765267136707646,0.21428571428571427,1.1437440161249686,44,1.0,2.0,14.0,1.1437440161249686,1.7747252747252746
