hub,sage_emb_0,sage_emb_1,sage_emb_2,sage_emb_3,sage_emb_4,sage_emb_5,sage_emb_6,sage_emb_7,sage_emb_8,sage_emb_9,sage_emb_10,sage_emb_11,sage_emb_12,sage_emb_13,sage_emb_14,sage_emb_15,sage_emb_16,sage_emb_17,sage_emb_18,sage_emb_19,sage_emb_20,sage_emb_21,sage_emb_22,sage_emb_23,sage_emb_24,sage_emb_25,sage_emb_26,sage_emb_27,sage_emb_28,sage_emb_29,sage_emb_30,sage_emb_31
IND000000AAL,0.30360478,0.047866523,0.21541028,0.0,0.123919845,0.16912448,0.0,0.0,0.015615952,0.023293719,0.47304514,0.12015015,0.17084585,0.0,0.0,0.0,0.09362615,0.23911014,0.28422815,0.25949347,0.10596717,0.036247864,0.0012322427,0.0,0.29746354,0.0,0.4585541,0.0,0.01571174,0.049811002,0.10674286,0.08662887
IND000000AAS,0.0,0.33881915,0.2001492,0.0,0.38897058,0.14945629,0.1256698,0.0,0.08143467,0.0,0.26700884,0.08218259,0.032079294,0.09871631,0.0,0.0,0.084902205,0.12231787,0.07528544,0.0012256878,0.28046688,0.0,0.0,0.0,0.3935443,0.08298326,0.0,0.2507454,0.45351118,0.0,0.0,0.1531352
IND000000AAZ,0.0,0.023060234,0.3469749,0.0,0.0,0.0,0.14207867,0.0,0.0,0.0,0.5093882,0.16491313,0.051879983,0.1098888,0.0,0.2799531,0.0,0.3807281,0.3608127,0.21860346,0.050759867,0.0,0.07984269,0.0,0.0,0.0,0.3271558,0.0,0.015964873,0.09302939,0.09872742,0.14666602
IND000000ABA,0.20332587,0.12008259,0.24091579,0.11698952,0.0,0.0036996196,0.0,0.0,0.09729889,0.0805776,0.45145088,0.16091903,0.1789977,0.0,0.0,0.0,0.08805575,0.007466798,0.24946594,0.15977949,0.14612873,0.0,0.14741756,0.0,0.379201,0.0,0.46302187,0.0,0.028525347,0.11284284,0.25743413,0.13466723
IND000000ABD,0.2588631,0.05674248,0.08521056,0.0,0.23463234,0.17088045,0.0,0.0,0.18145946,0.020791965,0.51328707,0.05794127,0.21523339,0.0,0.0,0.0,0.12391752,0.22228557,0.2381223,0.2622801,0.107782476,0.0,0.030601745,0.0,0.30563796,0.0,0.4099389,0.0,0.0,0.0,0.13809696,0.09166531
IND000000ABG,0.20956977,0.0,0.04169981,0.0,0.14109366,0.0,0.0,0.0,0.0,0.0,0.23527253,0.0,0.0,0.2060414,0.0,0.0,0.16274044,0.0,0.33707243,0.0050167814,0.3740294,0.0,0.0,0.0,0.49046868,0.0,0.0,0.34140816,0.23029478,0.039486073,0.25900787,0.27893308
IND000000ACA,0.32690477,0.0,0.38160977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17818716,0.08180785,0.1734324,0.0,0.0,0.0856711,0.08803871,0.08422208,0.36541027,0.5120027,0.034232076,0.0,0.09857836,0.0,0.0,0.0,0.3081092,0.0,0.2548883,0.29255158,0.0,0.068955615
IND000000ACB,0.43422538,0.0,0.093717076,0.06254581,0.0,0.0,0.0,0.0,0.0152638415,0.0,0.4253284,0.0,0.16971685,0.0,0.0,0.0,0.339184,0.10046974,0.28917247,0.31730917,0.0,0.0,0.100829564,0.0,0.081789486,0.050156523,0.1748254,0.0,0.37090862,0.30308035,0.0,0.0
IND000000ACK,0.1578276,0.0,0.08461366,0.0,0.021718603,0.06641488,0.0,0.0,0.0,0.0,0.19043717,0.0,0.0,0.15764602,0.0,0.0,0.021464571,0.0,0.23929186,0.0377181,0.4591532,0.0,0.0,0.0,0.39916644,0.0,0.0,0.39847648,0.39631867,0.083792396,0.1862794,0.3392007
IND000000ACN,0.024132757,0.022318488,0.0,0.0,0.39887965,0.0571956,0.0,0.0,0.050644435,0.0,0.366615,0.0,0.035533547,0.31602374,0.0,0.062384967,0.0,0.0,0.2565953,0.0,0.5380208,0.0,0.0,0.0,0.12504143,0.0,0.0,0.31150687,0.16089724,0.10368626,0.062215194,0.29335544
