corridor,source_center,destination_center,severity_tier,severity_score,delay_ratio_med,delay_ratio_mean,shipment_volume,sla_breach_trips,sla_breach_rate,sla_breach_contribution_pct,revenue_at_risk,penalty_cost,excess_time_cost,avg_osrm_distance,pct_ftl,recommended_intervention
IND000000ACB → IND562132AAA,IND000000ACB,IND562132AAA,Critical,0.6554849611297802,1.6844001999514844,1.697871888251501,4976,4961,0.9969855305466238,3.623760061942119,508134.0,496100,12033.625,1033.9525609927653,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND562132AAA → IND000000ACB,IND562132AAA,IND000000ACB,Critical,0.43751191935820255,1.7345395751989159,1.7123670406657203,3316,3285,0.9906513872135102,2.399526668711925,337205.0,328500,8704.766666666666,1143.918080880579,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND000000ACB → IND712311AAA,IND000000ACB,IND712311AAA,Critical,0.383488256167031,2.026579314094646,2.231516134606237,2862,2859,0.9989517819706499,2.0883551737739405,293246.0,285900,7345.545833333334,725.6915826694619,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND212402AAA → IND211002AAB,IND212402AAA,IND211002AAB,Critical,0.3576391440743086,31.78787878787879,34.851052999079315,65,65,1.0,0.04747921871119487,6716.0,6500,215.72083333333333,31.065392307692306,0.0,Facility upgrade + parallel route (dual intervention — severe chronic delay)
IND208012AAA → IND209304AAA,IND208012AAA,IND209304AAA,Critical,0.3008251903341166,27.2,22.183623911419964,33,32,0.9696969696969697,0.02337438459628055,3249.0,3200,48.729166666666664,20.469366666666666,0.0,Facility upgrade + parallel route (dual intervention — severe chronic delay)
IND416606AAA → IND416510AAA,IND416606AAA,IND416510AAA,Critical,0.29950782820437033,26.880917874396133,23.556107262598584,50,50,1.0,0.036522475931688364,5158.0,5000,157.5125,31.952033999999998,0.0,Facility upgrade + parallel route (dual intervention — severe chronic delay)
IND425405AAA → IND424006AAA,IND425405AAA,IND424006AAA,Critical,0.23012318400507167,21.185586734693878,15.74896269283985,18,18,1.0,0.013148091335407808,1851.0,1800,51.391666666666666,58.45355,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND000000ACB → IND501359AAE,IND000000ACB,IND501359AAE,Critical,0.22065006449480895,1.8243243243243243,1.8781611089073493,1639,1637,0.9987797437461867,1.1957458620034769,167249.0,163700,3549.4,799.9372946918853,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND000000ACB → IND421302AAG,IND000000ACB,IND421302AAG,Critical,0.21831448254285762,1.8706467661691542,1.9395230983536127,1617,1617,1.0,1.1811368716308015,164835.0,161700,3134.8166666666666,674.0505580086581,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND421302AAG → IND000000ACB,IND421302AAG,IND000000ACB,Critical,0.1726878572799949,1.8933030646992055,1.8811242328051105,1269,1265,0.9968479117415288,0.9240186410717156,128890.0,126500,2389.858333333333,654.6597108747045,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND781018AAB → IND110037AAM,IND781018AAB,IND110037AAM,Critical,0.16291070501000282,2.4316702819956615,2.5451369222969604,1137,1137,1.0,0.8305211026865933,118413.0,113700,4713.0125,901.4267444151276,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND421302AAG → IND562132AAA,IND421302AAG,IND562132AAA,Critical,0.1523578671278256,1.7018633540372672,1.736296328196498,1131,1130,0.9991158267020336,0.825407956056157,114311.0,113000,1310.9791666666665,489.47423421750665,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND000000ACB → IND411033AAA,IND000000ACB,IND411033AAA,Critical,0.15105174385595865,1.7577352472089314,1.7924425285032701,1120,1110,0.9910714285714286,0.8107989656834816,112827.0,111000,1826.9416666666668,706.7954499107143,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND722151AAA → IND723130AAA,IND722151AAA,IND723130AAA,Critical,0.1492167388519854,14.207738095238096,10.9020274204266,10,10,1.0,0.007304495186337672,1029.0,1000,28.854166666666668,80.62162000000001,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND000000ACB → IND600056AAB,IND000000ACB,IND600056AAB,Critical,0.13870063641789898,1.7717842323651452,1.7932831339816389,1015,1015,1.0,0.7414062614132738,104217.0,101500,2716.9874999999997,1117.7386109359607,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND421302AAG → IND110037AAM,IND421302AAG,IND110037AAM,Critical,0.13630518327615032,2.144144144144144,2.287915062023958,965,965,1.0,0.7048837854815854,98831.0,96500,2330.7791666666667,682.1323404145077,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND562132AAA → IND302014AAA,IND562132AAA,IND302014AAA,Critical,0.13552410624027875,1.93349450394801,1.913989753827213,978,975,0.9969325153374233,0.7121882806679231,100282.0,97500,2781.5333333333333,968.0544515337424,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND395023AAA → IND562132AAA,IND395023AAA,IND562132AAA,Critical,0.1269818628513998,1.7323290845886443,1.7448981868660691,935,931,0.9957219251336898,0.6800485018480373,94445.0,93100,1344.8375,609.8805014973262,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
IND208017AAA → IND209304AAA,IND208017AAA,IND209304AAA,Critical,0.12641339659980777,12.181818181818182,12.099148496431106,13,13,1.0,0.009495843742238974,1308.0,1300,7.833333333333334,16.07049230769231,0.0,Facility upgrade + parallel route (dual intervention — severe chronic delay)
IND854326AAB → IND000000ACB,IND854326AAB,IND000000ACB,Critical,0.12534422445923382,2.039087947882736,1.9982476697360376,899,886,0.985539488320356,0.6471782735095177,90587.0,88600,1987.0416666666665,644.1781931034483,1.0,Parallel route (alternate corridor / load-split to relieve structural delay)
